year,period,periodName,latest,value,footnotes,seriesID
2024,M10,October,true,160007,"[{'code': 'P', 'text': 'preliminary'}]",CEU0000000001
2024,M09,September,,159181,"[{'code': 'P', 'text': 'preliminary'}]",CEU0000000001
2024,M08,August,,158731,[{}],CEU0000000001
2024,M07,July,,158399,[{}],CEU0000000001
2024,M06,June,,159341,[{}],CEU0000000001
2024,M05,May,,158842,[{}],CEU0000000001
2024,M04,April,,158001,[{}],CEU0000000001
2024,M03,March,,157210,[{}],CEU0000000001
2024,M02,February,,156551,[{}],CEU0000000001
2024,M01,January,,155432,[{}],CEU0000000001
2023,M12,December,,158269,[{}],CEU0000000001
2023,M11,November,,158347,[{}],CEU0000000001
2023,M10,October,,157878,[{}],CEU0000000001
2023,M09,September,,156845,[{}],CEU0000000001
2023,M08,August,,156355,[{}],CEU0000000001
2023,M07,July,,155981,[{}],CEU0000000001
2023,M06,June,,156842,[{}],CEU0000000001
2023,M05,May,,156132,[{}],CEU0000000001
2023,M04,April,,155201,[{}],CEU0000000001
2023,M03,March,,154253,[{}],CEU0000000001
2023,M02,February,,153817,[{}],CEU0000000001
2023,M01,January,,152688,[{}],CEU0000000001
2022,M12,December,,155211,[{}],CEU0000000001
2022,M11,November,,155519,[{}],CEU0000000001
2022,M10,October,,154936,[{}],CEU0000000001
2022,M09,September,,153730,[{}],CEU0000000001
2022,M08,August,,153208,[{}],CEU0000000001
2022,M07,July,,152813,[{}],CEU0000000001
2022,M06,June,,153175,[{}],CEU0000000001
2022,M05,May,,152264,[{}],CEU0000000001
2022,M04,April,,151434,[{}],CEU0000000001
2022,M03,March,,150411,[{}],CEU0000000001
2022,M02,February,,149606,[{}],CEU0000000001
2022,M01,January,,147932,[{}],CEU0000000001
2024,M10,October,true,4.1,[{}],LNS14000000
2024,M09,September,,4.1,[{}],LNS14000000
2024,M08,August,,4.2,[{}],LNS14000000
2024,M07,July,,4.3,[{}],LNS14000000
2024,M06,June,,4.1,[{}],LNS14000000
2024,M05,May,,4.0,[{}],LNS14000000
2024,M04,April,,3.9,[{}],LNS14000000
2024,M03,March,,3.8,[{}],LNS14000000
2024,M02,February,,3.9,[{}],LNS14000000
2024,M01,January,,3.7,[{}],LNS14000000
2023,M12,December,,3.7,[{}],LNS14000000
2023,M11,November,,3.7,[{}],LNS14000000
2023,M10,October,,3.8,[{}],LNS14000000
2023,M09,September,,3.8,[{}],LNS14000000
2023,M08,August,,3.8,[{}],LNS14000000
2023,M07,July,,3.5,[{}],LNS14000000
2023,M06,June,,3.6,[{}],LNS14000000
2023,M05,May,,3.7,[{}],LNS14000000
2023,M04,April,,3.4,[{}],LNS14000000
2023,M03,March,,3.5,[{}],LNS14000000
2023,M02,February,,3.6,[{}],LNS14000000
2023,M01,January,,3.4,[{}],LNS14000000
2022,M12,December,,3.5,[{}],LNS14000000
2022,M11,November,,3.6,[{}],LNS14000000
2022,M10,October,,3.6,[{}],LNS14000000
2022,M09,September,,3.5,[{}],LNS14000000
2022,M08,August,,3.6,[{}],LNS14000000
2022,M07,July,,3.5,[{}],LNS14000000
2022,M06,June,,3.6,[{}],LNS14000000
2022,M05,May,,3.6,[{}],LNS14000000
2022,M04,April,,3.7,[{}],LNS14000000
2022,M03,March,,3.6,[{}],LNS14000000
2022,M02,February,,3.8,[{}],LNS14000000
2022,M01,January,,4.0,[{}],LNS14000000
